item,refdes,qty,subsystem,rev_a_selected_mpn,low_cost_candidate,robust_upgrade_candidate,supplier_part_status,pcba_policy,estimated_100_unit_cost_usd,decision_status,why
MCU/BLE,U1,1,mcu,ESP32-S3-WROOM-1U-N8R8,ESP32-S3-WROOM-1U-N8R8,ESP32-S3-WROOM-1U-N8R8,LCSC C2980300 verified earlier,SMT by PCBA vendor,3.83,locked,External antenna module is the right balance of BLE performance manufacturing and firmware continuity
LIN transceiver,U2 U3,2,lin,"TJA1021T/20/C,118","TJA1021T/20/C,118",TPIC1021D as backup only,LCSC C271675 verified earlier,SMT by PCBA vendor,0.96,locked,Two physical LIN channels are mandatory for inline passthrough
Buck regulator,U4,1,power,LM5164DDA 100V 1A synchronous buck,MP2459DT-LF-Z or MP1584EN class after cost-down validation,LM5164DDA-Q1 or equivalent AEC-Q high-voltage buck,TBD supplier and TI calculator verification,SMT by PCBA vendor,1.60,selected_verify_calculation,"Robust first-article default footprint Package_SO:HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias; preliminary 174k/100k FB for 1.2V reference, 10uH inductor, 10uF 50V input, 22uF output; RON/frequency and ripple network blocked on TI calculator/WEBENCH"
Reverse polarity MOSFET,Q1,1,power,AO4407A-class P-channel MOSFET,AO4407A-class P-channel MOSFET,AEC-Q101 P-channel MOSFET 40V+,TBD supplier verification,SMT by PCBA vendor,0.18,preferred_low_cost,MOSFET ideal-diode style protection avoids voltage drop while staying inexpensive
Input PTC/fuse,F1,1,power,1812 PPTC 0.5-0.75A hold,MF-MSMF050 or MF-MSMF075 class,AEC-Q/known derating PPTC or external harness fuse,TBD supplier verification,SMT by PCBA vendor,0.12,preferred_low_cost,Protects harness from board faults without a replaceable fuse in Rev A
VBAT TVS,D1,1,power,SMBJ24A/SMBJ26A class,SMBJ24A or SMBJ26A,SM8S33A/SM8S36A automotive load-dump TVS,TBD supplier verification,SMT by PCBA vendor,0.12,hybrid_review,Low cost is enough for bench; robust upgrade may be worth it before vehicle pilot
LIN ESD,D2 D3,2,lin,PESD1LIN-class single-line LIN ESD,Generic 24V single-line TVS/ESD,PESD1LIN AEC-Q class,TBD supplier verification,SMT by PCBA vendor,0.16,selected_verify_supplier,LIN pins use 10R series resistors plus dedicated ESD near each harness entry if stock/cost permits
USB ESD,D4,1,usb,USBLC6-2SC6-class low-cap array,USBLC6-2SC6 or clone,RClamp4021ZA or equivalent premium USB array,TBD supplier verification,SMT by PCBA vendor,0.10,preferred_low_cost,USB failure is recoverable but data lines still need proper ESD near connector
USB-C connector,J1,1,usb,TYPE-C-31-M-12 class USB2 receptacle,TYPE-C-31-M-12 class,Reinforced mid-mount USB-C with same pinout,TBD supplier verification,SMT by PCBA vendor if in library,0.22,preferred_low_cost,Common USB2 Type-C keeps service path cheap and easy to assemble
Physical arm switch,SW1,1,safety,DPDT slide switch,CK JS202011JCQN class or similar DPDT SMD slide switch,better-rated metal-frame DPDT slide switch,TBD supplier verification,Manual or PCBA if library supports,0.35,selected_verify_supplier,One pole gates LIN_EN; second pole drives ARM_SENSE high only when armed; verify footprint actuator direction and contact mapping
Mode switch,SW2,1,ui,SPDT/SPST slide switch optional,SS-12D07 class,better-rated metal-frame switch,TBD supplier verification,Manual or PCBA if library supports,0.18,candidate,Mode switch is firmware input only and may move after fit testing
Harness Micro-Fit service connectors,J2 J3,2,mechanical,Molex Micro-Fit 3.0 43650-0415 4-circuit vertical header,Molex Micro-Fit 3.0 43650-0415,Tesla X178/X184 adapter pigtails after physical connector inspection,DigiKey/Mouser/common distributor; JLCPCB secondary operation if unavailable,THT by vendor or installed secondary operation,1.40,selected_first_article,Board ships with keyed/latching 4-cavity service connectors matching Tesla-documented VBAT/GND/NC/LIN cavity count; board-side cable mate Molex 43025-0400 plus 43030-series terminals
Input ferrite/filter,FB1,1,power,1206 ferrite 600R@100MHz 2A class,Generic 1206 ferrite,Automotive-rated ferrite or small LC filter,TBD supplier verification,SMT by PCBA vendor,0.04,preferred_low_cost,Cuts conducted noise before buck without much cost
Buck inductor,L1,1,power,4.7-10uH shielded inductor 1.5A+,Generic 4x4/5x5 shielded inductor,Higher-saturation shielded inductor,TBD after regulator selection,SMT by PCBA vendor,0.18,candidate,Final value follows selected buck datasheet
CC resistors,R_CC1 R_CC2,2,usb,5.1k 1% 0603,Generic/JLC basic 0603,Same,Generic basic,SMT by PCBA vendor,0.01,locked,Required USB-C device Rd resistors
Boot/reset pullups,R_EN1 R_BOOT1,2,mcu,10k 1% 0603,Generic/JLC basic 0603,Same,Generic basic,SMT by PCBA vendor,0.01,locked,ESP32 boot/reset support
LIN_EN pulldown,R_LINEN_PD1,1,safety,100k 1% 0603,Generic/JLC basic 0603,Same,Generic basic,SMT by PCBA vendor,0.01,locked,Post-switch SLP_N net must default low
ARM_SENSE pulldown,R_ARMSENSE_PD1,1,safety,100k 1% 0603,Generic/JLC basic 0603,Same,Generic basic,SMT by PCBA vendor,0.01,locked,Default-off for physical arm sense during switch travel or missing switch
LIN TXD pullups,R_LINA_TXD_PU1 R_LINB_TXD_PU1,2,safety,100k 1% 0603 to 3V3,Generic/JLC basic 0603,Same,Generic basic,SMT by PCBA vendor,0.02,locked,Keeps both TJA1021 TXD inputs recessive if MCU pins float during reset/boot/fault
Optional LIN master pullups,R_LINA_MASTER1 R_LINB_MASTER1 D_LINA_MASTER1 D_LINB_MASTER1,4,lin,DNP 1k 0603 plus SOD-323 diode per channel,Generic/JLC basic resistor plus small switching diode,Populate only on channel where board is the LIN commander/master,Generic basic/stocked diode,SMT by PCBA vendor or hand-populate,0.04,dnp_topology_option,Leave car-side DNP when existing vehicle master remains; populate downstream side only if firmware intentionally creates an isolated commanded LIN segment
WAKE pullups,R_WAKE_A1 R_WAKE_B1,2,lin,100k 1% 0603 to VBAT_PROTECTED,Generic/JLC basic 0603,Same,Generic basic,SMT by PCBA vendor,0.02,selected_verify_datasheet,Keeps active-low WAKE_N inactive; expose optional test access only
LIN series resistors,R_LINA_SER1 R_LINB_SER1,2,lin,10R 1% 0603,Generic/JLC basic 0603,Same,Generic basic,SMT by PCBA vendor,0.02,selected,Placed between harness-side LIN net and TJA1021 LIN pin
Buck feedback resistors,R_FB_TOP1 R_FB_BOT1,2,power,174k/100k 1% 0603,Generic/JLC basic 0603,Same,Generic basic,SMT by PCBA vendor,0.02,selected_verify_calculation,Preliminary for LM5164 1.2V reference; final after TI calculator review
VBAT bulk capacitor,C_BULK_IN,1,power,47uF 35-50V,47uF 35V electrolytic/polymer,100uF 50V automotive-rated polymer,TBD supplier verification,SMT/THT by vendor or manual,0.35,preferred_low_cost,Input energy storage and transient smoothing
3V3 bulk capacitor,C_3V3_BULK,1,power,22uF 10V X7R 0805/1206,22uF 10V X7R,47uF combined low-ESR ceramics,TBD supplier verification,SMT by PCBA vendor,0.10,preferred_low_cost,ESP32 radio bursts need local bulk capacitance
Local decoupling,C_DECOUPLE,8,power,100nF 50V X7R 0603,Generic/JLC basic 0603,Same,Generic basic,SMT by PCBA vendor,0.03,locked,Local decoupling at ICs and protection blocks
Placed local decoupling,C_U1_DEC1 C_U2_DEC1 C_U3_DEC1 C_U4_DEC1,4,power,100nF 50V X7R 0603,Generic/JLC basic 0603,Same,Generic basic,SMT by PCBA vendor,0.02,locked,Implemented on Rev A at ESP32 LIN transceiver VBAT pins and buck input
Status LEDs,LED_STATUS LED_FAULT,2,ui,0603 LED optional,Generic 0603 LEDs,Same,TBD supplier verification,SMT by PCBA vendor,0.04,candidate,Useful for Rev A debug but can be depopulated later
Pogo pads,TP_ARRAY,12,test,ENIG copper pads,KiCad test pads,Same,PCB feature not purchased,PCB copper,0.00,locked,No hand wires for programming/test
Fiducials,FID1 FID2 FID3,3,manufacturing,Global fiducials,KiCad fiducial footprints,Same,PCB feature not purchased,PCB copper,0.00,locked,Required for repeatable PCBA assembly
External antenna,ANT1,1,rf,2.4GHz U.FL antenna,TBD low-cost U.FL antenna,automotive-rated external 2.4GHz antenna,TBD after mechanical fit,Manual install,1.00,candidate,RF placement inside wheel cavity must be validated physically